City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
203,Longhua,CN,81.39,scattered clouds,23.6137,114.1919,Huadu Hotel
204,Baraki Barak,AF,72.07,clear sky,33.9675,68.9486,برکی برک
208,Kieta,PG,83.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
209,Manzanillo,CU,83.32,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
211,Kamaishi,JP,82.04,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
212,Kongoussi,BF,81.14,few clouds,13.3258,-1.5347,Hôtel La Sagesse
214,Saint-Pierre,RE,71.19,broken clouds,-21.3393,55.4781,Alize Plage
217,Mabaruma,GY,74.23,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
219,Sao Miguel Do Araguaia,BR,74.44,clear sky,-13.275,-50.1628,Hotel Executivo Palace
220,Yichun,CN,77.0,few clouds,47.7,128.9,锦江酒店
223,Katsuura,JP,84.97,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
224,Aswan,EG,87.94,clear sky,24.0934,32.907,Nuba Nile
225,Aquiraz,BR,79.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
226,Prainha,BR,74.75,broken clouds,-1.8,-53.48,Casa Rocha
227,Khandyga,RU,67.8,light rain,62.6667,135.6,Apel'sin
228,Faro,PT,79.97,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
229,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Central
231,Itarema,BR,78.08,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Najran,SA,77.65,light rain,17.4924,44.1277,محمد هادي ال فطيح
236,Sept-Iles,CA,70.32,broken clouds,50.2001,-66.3821,Comfort Inn
237,Jalalpur Pirwala,PK,87.71,overcast clouds,29.5069,71.2192,Bhatti Easy Paisa Shop
238,Touros,BR,75.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
240,Glenwood Springs,US,79.34,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
241,Borzya,RU,66.97,overcast clouds,50.3833,116.5167,Tikhiy
246,Guangyuan,CN,80.19,few clouds,32.442,105.823,Guangyuan Poetry Hotel
247,Shaowu,CN,80.91,scattered clouds,27.3409,117.4831,Yijie Express Hotel
248,Vanimo,PG,83.23,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
250,Zuwarah,LY,81.37,clear sky,32.9312,12.082,مطعم كابيتانو
252,Galle,LK,77.94,broken clouds,6.0367,80.217,Amangalla
254,Tual,ID,79.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
256,Palmer,US,76.6,few clouds,42.1584,-72.3287,Wedgewood Motel
257,Erenhot,CN,75.85,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
261,Sao Felix Do Xingu,BR,80.17,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
262,Thunder Bay,CA,78.71,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
263,Axim,GH,74.32,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
265,Garden City,US,81.99,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
266,Lata,PT,69.91,clear sky,40.1629,-8.3327,Casa Maquia
267,Antigonish,CA,67.82,broken clouds,45.6169,-61.9986,Claymore Inn and Suites
268,Don Benito,ES,82.2,clear sky,38.9563,-5.8616,Hotel Veracruz
269,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
270,Sabha,LY,84.99,few clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
271,Porto Walter,BR,79.11,broken clouds,-8.2686,-72.7439,Hotel Silva
272,Jind,IN,80.4,overcast clouds,29.3167,76.3167,Hotel Deep Palace
273,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
274,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
276,Autazes,BR,73.24,overcast clouds,-3.5797,-59.1306,Hotel Tupinambá
279,Lichuan,CN,70.02,clear sky,30.3,108.85,Yuanlai Homestay
280,Atambua,ID,75.85,broken clouds,-9.1061,124.8925,Kost Alfa Flat
282,Waseca,US,80.85,clear sky,44.0777,-93.5074,American Motel
285,Krumovgrad,BG,75.04,clear sky,41.4667,25.65,Hotel Divna
286,Kalangala,UG,67.35,light rain,-0.3089,32.225,Ssese Habitat Resort
287,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Canaries,ES,67.96,broken clouds,28.0,-15.5,Villa del Monte
289,Sioux Lookout,CA,80.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
290,Methala,IN,75.2,overcast clouds,10.2166,76.2166,Style Homes Holiday Inn
292,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
293,Baracoa,CU,81.05,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
