City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
102,Amahai,ID,-3.3333,128.9167,79.11,86,87,4.59,overcast clouds
103,Iskateley,RU,67.6803,53.1512,52.25,67,88,8.48,overcast clouds
104,Ponta Delgada,PT,37.7333,-25.6667,70.52,83,20,6.91,few clouds
105,Port Blair,IN,11.6667,92.75,78.84,94,40,2.3,drizzle
106,Nsoko,SZ,-27.0333,31.95,59.63,95,23,1.97,few clouds
107,Emirdag,TR,39.0197,31.15,68.38,50,0,2.57,clear sky
108,Champasak,LA,14.75,106.0,74.86,97,100,1.03,overcast clouds
109,Mahebourg,MU,-20.4081,57.7,70.25,88,75,13.8,broken clouds
110,San Cristobal,VE,7.7669,-72.225,75.38,88,45,3.13,scattered clouds
111,Fortuna,US,40.5982,-124.1573,72.93,75,20,12.66,few clouds
112,Kodiak,US,57.79,-152.4072,62.11,77,100,9.22,overcast clouds
113,Wloszczowa,PL,50.8526,19.9659,66.4,97,100,1.03,heavy intensity rain
114,Kwinana,AU,-32.25,115.7667,50.81,63,100,5.23,overcast clouds
115,Jiuquan,CN,39.7432,98.5174,79.34,24,86,5.1,overcast clouds
116,Pijijiapan,MX,15.7011,-93.23,82.02,85,91,2.82,overcast clouds
117,Puerto Escondido,MX,15.85,-97.0667,85.03,65,75,8.05,broken clouds
118,Te Anau,NZ,-45.4167,167.7167,39.2,83,75,1.41,broken clouds
119,Zhuhai,CN,22.2769,113.5678,88.86,84,20,0.0,mist
120,Buraydah,SA,26.326,43.975,90.05,39,100,6.11,overcast clouds
121,La Merced,CO,5.4019,-75.8847,58.32,98,100,3.27,overcast clouds
122,Vestmannaeyjar,IS,63.4427,-20.2734,50.23,76,51,15.48,broken clouds
123,Kloulklubed,PW,7.0419,134.2556,82.9,75,97,10.4,overcast clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,67.35,66,7,14.43,clear sky
125,Dingle,PH,10.9995,122.6711,80.11,85,100,5.06,overcast clouds
126,Emerald,AU,-23.5333,148.1667,63.34,62,98,19.24,overcast clouds
127,Lamesa,US,32.7376,-101.951,97.52,20,25,13.96,scattered clouds
128,Tura,IN,25.5198,90.2201,73.85,99,100,6.26,overcast clouds
129,Fort Saint James,CA,54.4333,-124.25,86.14,24,32,5.5,scattered clouds
130,Chapais,CA,49.7834,-74.8492,65.98,72,84,9.84,broken clouds
131,Bitung,ID,1.4451,125.1824,85.05,79,98,7.0,overcast clouds
132,San Jeronimo,PE,-11.9472,-75.2829,52.54,59,3,6.13,clear sky
133,Dakoro,NE,14.5106,6.765,77.18,68,100,14.61,overcast clouds
134,Severo-Kurilsk,RU,50.6789,156.125,56.88,81,81,6.55,broken clouds
135,Namatanai,PG,-3.6667,152.4333,84.36,65,88,7.83,overcast clouds
136,Thompson,CA,55.7435,-97.8558,68.16,40,75,6.91,broken clouds
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.62,69,42,8.57,scattered clouds
138,Onega,RU,63.9061,38.1404,52.45,96,26,7.78,scattered clouds
139,Jerez,GT,14.1,-89.75,71.94,90,89,2.62,light rain
140,Chicama,PE,-7.8447,-79.1469,59.54,81,41,6.87,scattered clouds
141,Tomaszow Lubelski,PL,50.4477,23.4162,63.86,95,100,5.53,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,52.09,81,0,14.97,clear sky
143,Tahoua,NE,14.8888,5.2692,80.6,53,100,13.0,overcast clouds
144,Atuona,PF,-9.8,-139.0333,76.86,77,10,14.74,clear sky
145,Pevek,RU,69.7008,170.3133,45.91,69,24,10.11,few clouds
146,Alyangula,AU,-13.8483,136.4192,75.09,69,6,7.31,clear sky
147,Eskil,TR,38.4017,33.4131,70.99,32,0,5.32,clear sky
148,Rio Gallegos,AR,-51.6226,-69.2181,37.45,70,0,11.5,clear sky
149,Chabahar,IR,25.2919,60.643,81.73,87,93,6.04,overcast clouds
150,Nichinan,JP,31.6,131.3667,80.28,91,83,13.69,broken clouds
151,Adre,TD,13.4667,22.2,74.82,76,94,4.74,moderate rain
152,Abu Samrah,SY,35.3029,37.1841,76.98,47,0,7.09,clear sky
153,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,71,75,4.61,broken clouds
154,Lashio,MM,22.9333,97.75,68.63,99,100,0.74,overcast clouds
155,Wilmington,US,34.2257,-77.9447,82.99,86,0,3.44,clear sky
